chrom	start	end	sample	cell	class
chr10	0	45200000	pseudopool	NA19239_III_066	WW
chr10	0	45800000	pseudopool	NA12878_cell43	WW
chr10	0	45800000	pseudopool	NA19240_IV_018	WW
chr10	0	56600000	pseudopool	HG00268x01PE20402	WC
chr10	0	58400000	pseudopool	NA12878_cell6	CW
chr10	0	62800000	pseudopool	HG02059102PE20308	WC
chr10	0	64600000	pseudopool	HG00514_IV_095	WC
chr10	0	88800000	pseudopool	HG02059102PE20361	WC
chr10	0	89400000	pseudopool	HG00514_VI_020	WW
chr10	0	97600000	pseudopool	HG01352x02PE20402	WC
chr10	0	106000000	pseudopool	HG00512_I_015	CW
chr10	0	126000000	pseudopool	NA12878_cell20	CW
chr10	0	133797422	pseudopool	HG00268x01PE20401	CW
chr10	0	133797422	pseudopool	HG00268x01PE20404	CC
chr10	0	133797422	pseudopool	HG00268x01PE20438	CC
chr10	0	133797422	pseudopool	HG00512_I_017	WW
chr10	0	133797422	pseudopool	HG00512_I_075	WC
chr10	0	133797422	pseudopool	HG00512_I_087	WC
chr10	0	133797422	pseudopool	HG00512_I_092	WC
chr10	0	133797422	pseudopool	HG00514_IV_008	CW
chr10	0	133797422	pseudopool	HG00514_IV_015	WC
chr10	0	133797422	pseudopool	HG00514_IV_023	CW
chr10	0	133797422	pseudopool	HG00514_IV_073	WW
chr10	0	133797422	pseudopool	HG00514_IV_089	WC
chr10	0	133797422	pseudopool	HG00731_II_019	CC
chr10	0	133797422	pseudopool	HG00731_II_030	CC
chr10	0	133797422	pseudopool	HG00731_II_086	CC
chr10	0	133797422	pseudopool	HG01352x02PE20410	CC
chr10	0	133797422	pseudopool	HG01352x02PE20424	CW
chr10	0	133797422	pseudopool	HG01352x02PE20442	WW
chr10	0	133797422	pseudopool	HG02059102PE20326	CC
chr10	0	133797422	pseudopool	HG02059102PE20337	WC
chr10	0	133797422	pseudopool	HG02059102PE20348	WW
chr10	0	133797422	pseudopool	HG02818x02PE20308	CW
chr10	0	133797422	pseudopool	HG02818x02PE20332	CC
chr10	0	133797422	pseudopool	NA12878_cell113	CC
chr10	0	133797422	pseudopool	NA12878_cell26	WW
chr10	0	133797422	pseudopool	NA12878_cell90	WW
chr10	0	133797422	pseudopool	NA19239_VI_090	WW
chr10	0	133797422	pseudopool	NA19239_V_029	CC
chr10	0	133797422	pseudopool	NA19239_V_055	CW
chr10	0	133797422	pseudopool	NA19240_IV_033	WW
chr10	0	133797422	pseudopool	NA19240_I_081	WW
chr10	0	133797422	pseudopool	NA19240_VI_076	CW
chr10	0	133797422	pseudopool	NA19240_V_082	CW
chr10	10600000	133797422	pseudopool	HG00512_I_081	CC
chr10	33000000	133797422	pseudopool	HG02818x02PE20312	CW
chr10	43600000	133797422	pseudopool	HG00268x01PE20455	WC
chr10	45200000	48200000	pseudopool	NA19239_III_066	WC
chr10	45800000	48200000	pseudopool	NA12878_cell43	WC
chr10	45800000	48600000	pseudopool	NA19240_IV_018	CW
chr10	48200000	133797422	pseudopool	NA12878_cell43	WW
chr10	48200000	133797422	pseudopool	NA19239_III_066	WW
chr10	48600000	133797422	pseudopool	NA19240_IV_018	WW
chr10	56600000	133797422	pseudopool	HG00268x01PE20402	CC
chr10	58400000	58600000	pseudopool	NA12878_cell6	WW
chr10	58600000	92200000	pseudopool	NA12878_cell6	WC
chr10	62800000	133797422	pseudopool	HG02059102PE20308	CC
chr10	64600000	67200000	pseudopool	HG00514_IV_095	CC
chr10	67200000	104200000	pseudopool	HG00514_IV_095	WC
chr10	88800000	133797422	pseudopool	HG02059102PE20361	CC
chr10	89400000	133797422	pseudopool	HG00514_VI_020	CW
chr10	92200000	92400000	pseudopool	NA12878_cell6	CC
chr10	92400000	129000000	pseudopool	NA12878_cell6	WC
chr10	97600000	133797422	pseudopool	HG01352x02PE20402	CC
chr10	104200000	133797422	pseudopool	HG00514_IV_095	CC
chr10	106000000	133797422	pseudopool	HG00512_I_015	CC
chr10	126000000	131800000	pseudopool	NA12878_cell20	WW
chr10	129000000	133797422	pseudopool	NA12878_cell6	WW
chr10	131800000	133797422	pseudopool	NA12878_cell20	CW
chr11	0	6600000	pseudopool	NA12878_cell6	WW
chr11	0	20200000	pseudopool	HG02818x02PE20308	CC
chr11	0	41600000	pseudopool	HG00268x01PE20402	WW
chr11	0	46600000	pseudopool	HG00514_IV_073	CC
chr11	0	50000000	pseudopool	HG00512_I_017	CC
chr11	0	50000000	pseudopool	HG00514_IV_015	WW
chr11	0	50000000	pseudopool	HG00514_VI_020	CC
chr11	0	50000000	pseudopool	HG02818x02PE20332	CC
chr11	0	50200000	pseudopool	HG00512_I_087	WW
chr11	0	56000000	pseudopool	HG00512_I_075	WW
chr11	0	65600000	pseudopool	HG00268x01PE20455	CC
chr11	0	98600000	pseudopool	NA19240_V_082	CW
chr11	0	100400000	pseudopool	NA19239_V_029	CW
chr11	0	106800000	pseudopool	NA19240_IV_018	CC
chr11	0	110800000	pseudopool	NA12878_cell26	CC
chr11	0	131600000	pseudopool	HG00514_IV_095	CW
chr11	0	135086622	pseudopool	HG00268x01PE20401	WC
chr11	0	135086622	pseudopool	HG00268x01PE20404	WC
chr11	0	135086622	pseudopool	HG00268x01PE20438	CW
chr11	0	135086622	pseudopool	HG00512_I_015	WC
chr11	0	135086622	pseudopool	HG00512_I_081	CW
chr11	0	135086622	pseudopool	HG00512_I_092	CW
chr11	0	135086622	pseudopool	HG00514_IV_008	CW
chr11	0	135086622	pseudopool	HG00514_IV_023	CW
chr11	0	135086622	pseudopool	HG00514_IV_089	CW
chr11	0	135086622	pseudopool	HG00731_II_019	WW
chr11	0	135086622	pseudopool	HG00731_II_030	WW
chr11	0	135086622	pseudopool	HG00731_II_086	CW
chr11	0	135086622	pseudopool	HG01352x02PE20402	WW
chr11	0	135086622	pseudopool	HG01352x02PE20410	CC
chr11	0	135086622	pseudopool	HG01352x02PE20424	WC
chr11	0	135086622	pseudopool	HG01352x02PE20442	CC
chr11	0	135086622	pseudopool	HG02059102PE20308	WW
chr11	0	135086622	pseudopool	HG02059102PE20326	WW
chr11	0	135086622	pseudopool	HG02059102PE20337	WW
chr11	0	135086622	pseudopool	HG02059102PE20348	CC
chr11	0	135086622	pseudopool	HG02059102PE20361	CW
chr11	0	135086622	pseudopool	HG02818x02PE20312	WW
chr11	0	135086622	pseudopool	NA12878_cell113	CC
chr11	0	135086622	pseudopool	NA12878_cell20	WW
chr11	0	135086622	pseudopool	NA12878_cell43	WC
chr11	0	135086622	pseudopool	NA12878_cell90	WW
chr11	0	135086622	pseudopool	NA19239_III_066	CW
chr11	0	135086622	pseudopool	NA19239_VI_090	WC
chr11	0	135086622	pseudopool	NA19239_V_055	CW
chr11	0	135086622	pseudopool	NA19240_IV_033	WW
chr11	0	135086622	pseudopool	NA19240_I_081	WW
chr11	0	135086622	pseudopool	NA19240_VI_076	CC
chr11	6600000	135086622	pseudopool	NA12878_cell6	WC
chr11	20200000	114600000	pseudopool	HG02818x02PE20308	WC
chr11	41600000	135086622	pseudopool	HG00268x01PE20402	CW
chr11	46600000	135086622	pseudopool	HG00514_IV_073	CW
chr11	50000000	50400000	pseudopool	HG00512_I_017	WC
chr11	50000000	50400000	pseudopool	HG00514_IV_015	WC
chr11	50000000	50400000	pseudopool	HG00514_VI_020	WC
chr11	50000000	50400000	pseudopool	HG02818x02PE20332	CW
chr11	50200000	50400000	pseudopool	HG00512_I_087	WC
chr11	50400000	73800000	pseudopool	HG02818x02PE20332	CC
chr11	50400000	109800000	pseudopool	HG00514_VI_020	CC
chr11	50400000	135086622	pseudopool	HG00512_I_017	CC
chr11	50400000	135086622	pseudopool	HG00512_I_087	WW
chr11	50400000	135086622	pseudopool	HG00514_IV_015	WW
chr11	56000000	135086622	pseudopool	HG00512_I_075	WC
chr11	65600000	70000000	pseudopool	HG00268x01PE20455	WC
chr11	70000000	135086622	pseudopool	HG00268x01PE20455	CC
chr11	73800000	135086622	pseudopool	HG02818x02PE20332	WC
chr11	98600000	135086622	pseudopool	NA19240_V_082	WW
chr11	100400000	135086622	pseudopool	NA19239_V_029	CC
chr11	106800000	135086622	pseudopool	NA19240_IV_018	CW
chr11	109800000	135086622	pseudopool	HG00514_VI_020	WC
chr11	110800000	135086622	pseudopool	NA12878_cell26	CW
chr11	114600000	135086622	pseudopool	HG02818x02PE20308	WW
chr11	131600000	133600000	pseudopool	HG00514_IV_095	CC
chr11	133600000	135086622	pseudopool	HG00514_IV_095	CW
chr12	0	10000000	pseudopool	HG02818x02PE20308	CC
chr12	0	37200000	pseudopool	NA12878_cell6	CW
chr12	0	54200000	pseudopool	NA19239_V_029	CW
chr12	0	67600000	pseudopool	NA19240_I_081	CC
chr12	0	97400000	pseudopool	HG02059102PE20308	CW
chr12	0	101400000	pseudopool	HG00514_IV_095	WC
chr12	0	119200000	pseudopool	HG00268x01PE20402	WC
chr12	0	129000000	pseudopool	HG00512_I_081	CW
chr12	0	133275309	pseudopool	HG00268x01PE20401	CC
chr12	0	133275309	pseudopool	HG00268x01PE20404	CW
chr12	0	133275309	pseudopool	HG00268x01PE20438	CW
chr12	0	133275309	pseudopool	HG00268x01PE20455	CC
chr12	0	133275309	pseudopool	HG00512_I_015	CC
chr12	0	133275309	pseudopool	HG00512_I_017	CW
chr12	0	133275309	pseudopool	HG00512_I_075	WC
chr12	0	133275309	pseudopool	HG00512_I_087	CW
chr12	0	133275309	pseudopool	HG00512_I_092	WW
chr12	0	133275309	pseudopool	HG00514_IV_008	CC
chr12	0	133275309	pseudopool	HG00514_IV_015	WC
chr12	0	133275309	pseudopool	HG00514_IV_023	CC
chr12	0	133275309	pseudopool	HG00514_IV_073	CW
chr12	0	133275309	pseudopool	HG00514_IV_089	WC
chr12	0	133275309	pseudopool	HG00514_VI_020	WW
chr12	0	133275309	pseudopool	HG00731_II_019	WW
chr12	0	133275309	pseudopool	HG00731_II_030	CW
chr12	0	133275309	pseudopool	HG00731_II_086	CW
chr12	0	133275309	pseudopool	HG01352x02PE20402	WC
chr12	0	133275309	pseudopool	HG01352x02PE20410	CC
chr12	0	133275309	pseudopool	HG01352x02PE20424	WC
chr12	0	133275309	pseudopool	HG01352x02PE20442	WW
chr12	0	133275309	pseudopool	HG02059102PE20326	CW
chr12	0	133275309	pseudopool	HG02059102PE20337	CW
chr12	0	133275309	pseudopool	HG02059102PE20348	CC
chr12	0	133275309	pseudopool	HG02059102PE20361	CW
chr12	0	133275309	pseudopool	HG02818x02PE20312	WW
chr12	0	133275309	pseudopool	HG02818x02PE20332	CC
chr12	0	133275309	pseudopool	NA12878_cell113	WC
chr12	0	133275309	pseudopool	NA12878_cell20	CC
chr12	0	133275309	pseudopool	NA12878_cell26	WC
chr12	0	133275309	pseudopool	NA12878_cell43	CW
chr12	0	133275309	pseudopool	NA12878_cell90	CW
chr12	0	133275309	pseudopool	NA19239_III_066	WC
chr12	0	133275309	pseudopool	NA19239_VI_090	WW
chr12	0	133275309	pseudopool	NA19239_V_055	CW
chr12	0	133275309	pseudopool	NA19240_IV_018	WW
chr12	0	133275309	pseudopool	NA19240_IV_033	CW
chr12	0	133275309	pseudopool	NA19240_VI_076	CC
chr12	0	133275309	pseudopool	NA19240_V_082	CC
chr12	10000000	133275309	pseudopool	HG02818x02PE20308	CW
chr12	37200000	60000000	pseudopool	NA12878_cell6	CC
chr12	54200000	133275309	pseudopool	NA19239_V_029	CC
chr12	60000000	60200000	pseudopool	NA12878_cell6	WC
chr12	60200000	95400000	pseudopool	NA12878_cell6	CC
chr12	67600000	133275309	pseudopool	NA19240_I_081	CW
chr12	95400000	95600000	pseudopool	NA12878_cell6	WC
chr12	95600000	133275309	pseudopool	NA12878_cell6	CC
chr12	97400000	133275309	pseudopool	HG02059102PE20308	WW
chr12	101400000	133275309	pseudopool	HG00514_IV_095	CC
chr12	119200000	133275309	pseudopool	HG00268x01PE20402	CC
chr12	129000000	133275309	pseudopool	HG00512_I_081	WW
chr13	0	19200000	pseudopool	NA12878_cell20	CW
chr13	0	20000000	pseudopool	HG00514_IV_073	WW
chr13	0	41800000	pseudopool	NA12878_cell6	CC
chr13	0	46200000	pseudopool	HG02059102PE20326	CC
chr13	0	47800000	pseudopool	HG00731_II_019	WC
chr13	0	48000000	pseudopool	HG00268x01PE20455	CC
chr13	0	65200000	pseudopool	HG02818x02PE20308	WW
chr13	0	73000000	pseudopool	HG00512_I_017	WC
chr13	0	76600000	pseudopool	NA12878_cell113	CC
chr13	0	88200000	pseudopool	HG00512_I_087	CW
chr13	0	88800000	pseudopool	NA12878_cell90	CC
chr13	0	89200000	pseudopool	NA12878_cell26	WW
chr13	0	114364328	pseudopool	HG00268x01PE20401	WC
chr13	0	114364328	pseudopool	HG00268x01PE20402	WC
chr13	0	114364328	pseudopool	HG00268x01PE20404	WW
chr13	0	114364328	pseudopool	HG00268x01PE20438	CW
chr13	0	114364328	pseudopool	HG00512_I_015	CW
chr13	0	114364328	pseudopool	HG00512_I_075	WW
chr13	0	114364328	pseudopool	HG00512_I_081	WW
chr13	0	114364328	pseudopool	HG00512_I_092	CW
chr13	0	114364328	pseudopool	HG00514_IV_008	WW
chr13	0	114364328	pseudopool	HG00514_IV_015	WC
chr13	0	114364328	pseudopool	HG00514_IV_023	WW
chr13	0	114364328	pseudopool	HG00514_IV_089	CW
chr13	0	114364328	pseudopool	HG00514_IV_095	WW
chr13	0	114364328	pseudopool	HG00514_VI_020	CW
chr13	0	114364328	pseudopool	HG00731_II_030	WC
chr13	0	114364328	pseudopool	HG00731_II_086	CW
chr13	0	114364328	pseudopool	HG01352x02PE20402	CW
chr13	0	114364328	pseudopool	HG01352x02PE20410	CC
chr13	0	114364328	pseudopool	HG01352x02PE20424	WC
chr13	0	114364328	pseudopool	HG01352x02PE20442	WW
chr13	0	114364328	pseudopool	HG02059102PE20308	WC
chr13	0	114364328	pseudopool	HG02059102PE20337	WW
chr13	0	114364328	pseudopool	HG02059102PE20348	WC
chr13	0	114364328	pseudopool	HG02059102PE20361	WW
chr13	0	114364328	pseudopool	HG02818x02PE20312	CC
chr13	0	114364328	pseudopool	HG02818x02PE20332	CW
chr13	0	114364328	pseudopool	NA12878_cell43	CW
chr13	0	114364328	pseudopool	NA19239_III_066	CW
chr13	0	114364328	pseudopool	NA19239_VI_090	CC
chr13	0	114364328	pseudopool	NA19239_V_029	CC
chr13	0	114364328	pseudopool	NA19239_V_055	WW
chr13	0	114364328	pseudopool	NA19240_IV_018	CW
chr13	0	114364328	pseudopool	NA19240_IV_033	CW
chr13	0	114364328	pseudopool	NA19240_I_081	CW
chr13	0	114364328	pseudopool	NA19240_VI_076	CC
chr13	0	114364328	pseudopool	NA19240_V_082	WW
chr13	19200000	114364328	pseudopool	NA12878_cell20	CC
chr13	20000000	114364328	pseudopool	HG00514_IV_073	CW
chr13	41800000	42000000	pseudopool	NA12878_cell6	WC
chr13	42000000	66000000	pseudopool	NA12878_cell6	CC
chr13	46200000	114364328	pseudopool	HG02059102PE20326	CW
chr13	47800000	114364328	pseudopool	HG00731_II_019	WW
chr13	48000000	114364328	pseudopool	HG00268x01PE20455	CW
chr13	65200000	114364328	pseudopool	HG02818x02PE20308	CW
chr13	66000000	66200000	pseudopool	NA12878_cell6	WC
chr13	66200000	114364328	pseudopool	NA12878_cell6	CC
chr13	73000000	114364328	pseudopool	HG00512_I_017	CC
chr13	76600000	114364328	pseudopool	NA12878_cell113	CW
chr13	88200000	114364328	pseudopool	HG00512_I_087	WW
chr13	88800000	114364328	pseudopool	NA12878_cell90	WC
chr13	89200000	114364328	pseudopool	NA12878_cell26	WC
chr14	0	24200000	pseudopool	HG00514_IV_073	WW
chr14	0	28600000	pseudopool	NA12878_cell20	CW
chr14	0	29200000	pseudopool	HG01352x02PE20410	CW
chr14	0	35200000	pseudopool	HG00268x01PE20404	WC
chr14	0	49000000	pseudopool	NA19239_III_066	WC
chr14	0	62800000	pseudopool	HG02059102PE20308	CC
chr14	0	67400000	pseudopool	NA19240_IV_033	CW
chr14	0	83000000	pseudopool	HG00268x01PE20402	WC
chr14	0	86200000	pseudopool	NA19240_V_082	WC
chr14	0	107043718	pseudopool	HG00268x01PE20401	CW
chr14	0	107043718	pseudopool	HG00268x01PE20438	CW
chr14	0	107043718	pseudopool	HG00268x01PE20455	CW
chr14	0	107043718	pseudopool	HG00512_I_015	WW
chr14	0	107043718	pseudopool	HG00512_I_017	WC
chr14	0	107043718	pseudopool	HG00512_I_075	CC
chr14	0	107043718	pseudopool	HG00512_I_081	CW
chr14	0	107043718	pseudopool	HG00512_I_087	WW
chr14	0	107043718	pseudopool	HG00512_I_092	CW
chr14	0	107043718	pseudopool	HG00514_IV_008	CW
chr14	0	107043718	pseudopool	HG00514_IV_015	CW
chr14	0	107043718	pseudopool	HG00514_IV_023	CW
chr14	0	107043718	pseudopool	HG00514_IV_089	WW
chr14	0	107043718	pseudopool	HG00514_IV_095	CW
chr14	0	107043718	pseudopool	HG00514_VI_020	CW
chr14	0	107043718	pseudopool	HG00731_II_019	CW
chr14	0	107043718	pseudopool	HG00731_II_030	WC
chr14	0	107043718	pseudopool	HG00731_II_086	CC
chr14	0	107043718	pseudopool	HG01352x02PE20402	CW
chr14	0	107043718	pseudopool	HG01352x02PE20424	WW
chr14	0	107043718	pseudopool	HG01352x02PE20442	CC
chr14	0	107043718	pseudopool	HG02059102PE20326	WC
chr14	0	107043718	pseudopool	HG02059102PE20337	CW
chr14	0	107043718	pseudopool	HG02059102PE20348	CC
chr14	0	107043718	pseudopool	HG02059102PE20361	WC
chr14	0	107043718	pseudopool	HG02818x02PE20308	WW
chr14	0	107043718	pseudopool	HG02818x02PE20312	CC
chr14	0	107043718	pseudopool	HG02818x02PE20332	CW
chr14	0	107043718	pseudopool	NA12878_cell113	WC
chr14	0	107043718	pseudopool	NA12878_cell26	WW
chr14	0	107043718	pseudopool	NA12878_cell43	CW
chr14	0	107043718	pseudopool	NA12878_cell6	WC
chr14	0	107043718	pseudopool	NA12878_cell90	CW
chr14	0	107043718	pseudopool	NA19239_VI_090	CC
chr14	0	107043718	pseudopool	NA19239_V_029	WW
chr14	0	107043718	pseudopool	NA19239_V_055	WC
chr14	0	107043718	pseudopool	NA19240_IV_018	CC
chr14	0	107043718	pseudopool	NA19240_I_081	WC
chr14	0	107043718	pseudopool	NA19240_VI_076	CW
chr14	24200000	107043718	pseudopool	HG00514_IV_073	CW
chr14	28600000	36400000	pseudopool	NA12878_cell20	CC
chr14	29200000	107043718	pseudopool	HG01352x02PE20410	WW
chr14	35200000	107043718	pseudopool	HG00268x01PE20404	CC
chr14	36400000	107043718	pseudopool	NA12878_cell20	CW
chr14	49000000	107043718	pseudopool	NA19239_III_066	CC
chr14	62800000	107043718	pseudopool	HG02059102PE20308	CW
chr14	67400000	107043718	pseudopool	NA19240_IV_033	WW
chr14	83000000	107043718	pseudopool	HG00268x01PE20402	WW
chr14	86200000	107043718	pseudopool	NA19240_V_082	WW
chr15	0	22600000	pseudopool	HG00268x01PE20404	WC
chr15	0	22600000	pseudopool	HG00268x01PE20438	WC
chr15	0	22600000	pseudopool	HG00512_I_017	WC
chr15	0	22600000	pseudopool	HG00512_I_075	WC
chr15	0	22600000	pseudopool	HG00512_I_087	WC
chr15	0	22600000	pseudopool	HG00514_IV_015	WC
chr15	0	22600000	pseudopool	HG00514_IV_023	WC
chr15	0	22600000	pseudopool	HG00514_IV_095	WC
chr15	0	22600000	pseudopool	HG00731_II_030	WC
chr15	0	22600000	pseudopool	HG01352x02PE20424	WC
chr15	0	22600000	pseudopool	HG02059102PE20348	WC
chr15	0	22600000	pseudopool	HG02818x02PE20332	CW
chr15	0	22600000	pseudopool	NA12878_cell113	CW
chr15	0	22600000	pseudopool	NA12878_cell26	CW
chr15	0	22600000	pseudopool	NA12878_cell90	CW
chr15	0	22600000	pseudopool	NA19239_VI_090	WC
chr15	0	22600000	pseudopool	NA19239_V_029	CW
chr15	0	22600000	pseudopool	NA19240_IV_018	WC
chr15	0	22600000	pseudopool	NA19240_V_082	CW
chr15	0	22800000	pseudopool	HG01352x02PE20410	WC
chr15	0	46000000	pseudopool	NA12878_cell20	CW
chr15	0	58800000	pseudopool	NA12878_cell6	CW
chr15	0	76000000	pseudopool	HG00731_II_086	CW
chr15	0	101991189	pseudopool	HG00268x01PE20401	WC
chr15	0	101991189	pseudopool	HG00268x01PE20402	CW
chr15	0	101991189	pseudopool	HG00268x01PE20455	CW
chr15	0	101991189	pseudopool	HG00512_I_015	CW
chr15	0	101991189	pseudopool	HG00512_I_081	WC
chr15	0	101991189	pseudopool	HG00512_I_092	CW
chr15	0	101991189	pseudopool	HG00514_IV_008	WC
chr15	0	101991189	pseudopool	HG00514_IV_073	CW
chr15	0	101991189	pseudopool	HG00514_IV_089	CW
chr15	0	101991189	pseudopool	HG00514_VI_020	WC
chr15	0	101991189	pseudopool	HG00731_II_019	CW
chr15	0	101991189	pseudopool	HG01352x02PE20402	WC
chr15	0	101991189	pseudopool	HG01352x02PE20442	CW
chr15	0	101991189	pseudopool	HG02059102PE20308	CW
chr15	0	101991189	pseudopool	HG02059102PE20326	CW
chr15	0	101991189	pseudopool	HG02059102PE20337	WC
chr15	0	101991189	pseudopool	HG02059102PE20361	WC
chr15	0	101991189	pseudopool	HG02818x02PE20308	CW
chr15	0	101991189	pseudopool	HG02818x02PE20312	WC
chr15	0	101991189	pseudopool	NA12878_cell43	CW
chr15	0	101991189	pseudopool	NA19239_III_066	CW
chr15	0	101991189	pseudopool	NA19239_V_055	CW
chr15	0	101991189	pseudopool	NA19240_IV_033	CW
chr15	0	101991189	pseudopool	NA19240_I_081	CW
chr15	0	101991189	pseudopool	NA19240_VI_076	WC
chr15	22600000	66400000	pseudopool	NA19239_V_029	CC
chr15	22600000	101991189	pseudopool	HG00268x01PE20404	CC
chr15	22600000	101991189	pseudopool	HG00268x01PE20438	CC
chr15	22600000	101991189	pseudopool	HG00512_I_017	WW
chr15	22600000	101991189	pseudopool	HG00512_I_075	WW
chr15	22600000	101991189	pseudopool	HG00512_I_087	CC
chr15	22600000	101991189	pseudopool	HG00514_IV_015	WW
chr15	22600000	101991189	pseudopool	HG00514_IV_023	WW
chr15	22600000	101991189	pseudopool	HG00514_IV_095	CC
chr15	22600000	101991189	pseudopool	HG00731_II_030	CC
chr15	22600000	101991189	pseudopool	HG01352x02PE20424	CC
chr15	22600000	101991189	pseudopool	HG02059102PE20348	WW
chr15	22600000	101991189	pseudopool	HG02818x02PE20332	CC
chr15	22600000	101991189	pseudopool	NA12878_cell113	CC
chr15	22600000	101991189	pseudopool	NA12878_cell26	CC
chr15	22600000	101991189	pseudopool	NA12878_cell90	CC
chr15	22600000	101991189	pseudopool	NA19239_VI_090	CC
chr15	22600000	101991189	pseudopool	NA19240_IV_018	CC
chr15	22600000	101991189	pseudopool	NA19240_V_082	CC
chr15	22800000	101991189	pseudopool	HG01352x02PE20410	WW
chr15	46000000	47400000	pseudopool	NA12878_cell20	CC
chr15	47400000	86000000	pseudopool	NA12878_cell20	WC
chr15	58800000	59000000	pseudopool	NA12878_cell6	WW
chr15	59000000	101991189	pseudopool	NA12878_cell6	CW
chr15	66400000	101991189	pseudopool	NA19239_V_029	CW
chr15	76000000	101991189	pseudopool	HG00731_II_086	CC
